       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          25	           1	      0.1225	         0.5	         0.5	          12	       5.183	       4.464	           0	           0	    0.007695	  -1.349e-09	    0.005334	   5.606e-10	      0.1424	   3.224e-11	   0.0008823	  -1.956e-12	   0.0006511	   4.913e-10	       5.183	   0.0001382	     0.00744	     0.01211	   0.0009904	    0.001389	   0.0007782	     0.03482	   1.481e-06	   1.062e-05	    6.31e-06	    0.001885	     0.04862	      0.3498	     0.00957	    0.004236	
           1	          26	           1	      0.1275	         0.5	         0.5	          12	       5.187	       4.457	           0	           0	    0.007686	  -1.505e-08	    0.005339	   1.385e-10	      0.1424	   4.227e-11	   0.0008823	  -1.763e-11	   0.0006516	   1.463e-08	       5.187	   0.0001427	    0.007418	     0.01215	   0.0009953	    0.001388	   0.0007746	     0.03405	   1.463e-06	   1.081e-05	   6.068e-06	    0.001886	     0.04789	      0.3498	    0.009588	    0.004249	
           1	          27	           1	      0.1325	         0.5	         0.5	          12	       5.193	        4.45	           0	           0	     0.00769	   2.376e-10	     0.00535	  -1.353e-11	      0.1424	  -1.141e-11	   0.0008823	   4.164e-14	   0.0006517	  -6.618e-11	       5.193	    0.000148	    0.007392	     0.01219	    0.001001	    0.001388	   0.0007704	     0.03308	   1.441e-06	   1.103e-05	   5.773e-06	    0.001887	     0.04697	      0.3498	    0.009616	    0.004265	
           1	          28	           1	      0.1375	         0.5	         0.5	          12	         5.2	        4.44	           0	           0	    0.007692	  -7.066e-09	    0.005358	  -1.971e-10	      0.1424	   3.831e-11	   0.0008823	   -7.44e-12	   0.0006513	   6.673e-09	         5.2	   0.0001542	    0.007362	     0.01226	    0.001008	    0.001387	   0.0007654	     0.03187	   1.413e-06	   1.128e-05	   5.416e-06	    0.001888	     0.04582	      0.3498	    0.009645	    0.004287	
           1	          29	           1	      0.1425	         0.5	         0.5	          12	        5.21	       4.427	           0	           0	    0.007688	  -6.831e-09	    0.005362	   1.683e-10	      0.1424	  -2.629e-11	   0.0008823	   -6.86e-12	   0.0006513	   6.446e-09	        5.21	   0.0001615	    0.007328	     0.01234	    0.001016	    0.001387	   0.0007596	     0.03035	   1.378e-06	   1.158e-05	   4.991e-06	     0.00189	     0.04437	      0.3498	    0.009677	    0.004315	
           1	          30	           1	      0.1475	         0.5	         0.5	          12	       5.222	       4.411	           0	           0	    0.007678	  -4.881e-09	    0.005359	   4.241e-10	      0.1424	  -3.758e-11	   0.0008822	  -4.247e-12	   0.0006509	   5.254e-09	       5.222	   0.0001699	    0.007289	     0.01244	    0.001025	    0.001386	   0.0007529	     0.02846	   1.334e-06	   1.193e-05	   4.489e-06	    0.001891	     0.04258	      0.3498	    0.009711	    0.004352	
           1	          31	           1	      0.1525	         0.5	         0.5	          12	       5.239	        4.39	           0	           0	    0.007682	   1.568e-09	    0.005361	   1.641e-10	      0.1424	   -2.16e-12	   0.0008822	   1.242e-12	   0.0006512	  -1.978e-09	       5.239	   0.0001796	    0.007247	     0.01258	    0.001035	    0.001385	   0.0007452	     0.02611	   1.277e-06	   1.233e-05	   3.907e-06	    0.001894	     0.04036	      0.3498	    0.009762	    0.004401	
           1	          32	           1	      0.1575	         0.5	         0.5	          12	       5.261	       4.362	           0	           0	    0.007683	  -9.355e-10	    0.005355	   4.922e-10	      0.1424	  -7.075e-12	   0.0008822	  -1.549e-13	   0.0006511	    2.73e-09	       5.261	   0.0001906	    0.007201	     0.01277	    0.001047	    0.001384	   0.0007364	     0.02319	   1.204e-06	   1.278e-05	   3.245e-06	    0.001897	     0.03762	      0.3498	    0.009822	    0.004467	
           1	          33	           1	      0.1625	         0.5	         0.5	          12	       5.294	       4.323	           0	           0	    0.007671	   1.234e-08	    0.005329	   5.328e-10	      0.1424	   3.254e-11	   0.0008821	   6.348e-12	   0.0006509	  -1.362e-08	       5.294	   0.0002031	    0.007155	     0.01304	    0.001061	    0.001383	   0.0007265	     0.01957	   1.107e-06	   1.329e-05	   2.512e-06	      0.0019	     0.03425	      0.3498	    0.009889	     0.00456	
           1	          34	           1	      0.1675	         0.5	         0.5	          12	       5.344	       4.263	           0	           0	    0.007647	  -5.347e-09	    0.005273	   3.745e-10	      0.1424	   -1.41e-11	    0.000882	  -9.206e-13	   0.0006511	   5.253e-09	       5.344	    0.000217	    0.007118	     0.01343	    0.001076	    0.001381	   0.0007153	     0.01507	   9.734e-07	   1.387e-05	   1.726e-06	    0.001904	      0.0301	      0.3498	    0.009969	    0.004696	
           1	          35	           1	      0.1725	         0.5	         0.5	          12	       5.439	       4.156	           0	           0	    0.007557	   -2.39e-09	    0.005132	   1.071e-09	      0.1424	   6.973e-12	   0.0008819	   6.392e-13	   0.0006513	   3.409e-09	       5.439	   0.0002326	    0.007118	     0.01406	    0.001093	     0.00138	   0.0007029	    0.009368	   7.694e-07	    1.45e-05	   9.218e-07	     0.00191	     0.02495	      0.3498	     0.01005	    0.004918	
           1	          36	           1	      0.1775	         0.5	         0.5	          12	       5.712	       3.848	           0	           0	     0.00681	   7.986e-09	    0.004586	   4.377e-09	      0.1424	  -2.614e-11	   0.0008816	    1.58e-12	   0.0006514	  -7.453e-10	       5.712	   0.0002497	    0.007384	     0.01524	    0.001112	    0.001378	   0.0006892	    0.002607	   4.001e-07	   1.521e-05	   2.357e-07	    0.001916	     0.01901	      0.3498	    0.009916	     0.00533	
           1	          37	           1	      0.1825	         0.5	         0.5	          12	       6.461	       2.888	    0.005261	  -2.888e-08	    0.002441	   1.678e-08	   0.0005728	   1.785e-08	      0.1425	  -1.235e-11	   0.0008812	   9.955e-13	   0.0006511	  -1.566e-09	       6.461	   0.0002684	    0.009378	     0.01706	    0.001132	    0.001375	    0.000674	   0.0001283	   7.222e-08	   1.597e-05	   7.259e-08	    0.001918	     0.01626	        0.35	     0.01181	    0.005971	
           1	          38	           1	      0.1875	         0.5	         0.5	          12	       6.466	       2.873	    0.006198	    1.34e-09	    0.001868	   3.388e-09	    4.47e-06	  -5.663e-11	      0.1425	  -1.464e-11	   0.0008812	   -7.64e-15	    0.000651	  -3.386e-09	       6.466	   0.0002888	    0.009235	     0.01705	    0.001154	    0.001373	   0.0006576	   0.0001282	   7.137e-08	   1.681e-05	   7.286e-08	    0.001918	     0.01628	        0.35	     0.01217	    0.005966	
           1	          39	           1	      0.1925	         0.5	         0.5	          12	       6.473	       2.855	    0.006276	   3.884e-10	    0.001821	   2.534e-09	           0	           0	      0.1425	   2.247e-11	   0.0008812	  -1.139e-14	   0.0006511	  -2.526e-09	       6.473	   0.0003108	    0.009084	      0.0169	    0.001178	    0.001371	     0.00064	   0.0001271	   7.023e-08	   1.772e-05	    7.32e-08	    0.001918	     0.01617	        0.35	     0.01219	    0.005915	
           1	          40	           1	      0.1975	         0.5	         0.5	          12	       6.481	       2.834	    0.006283	  -7.459e-10	    0.001817	  -6.411e-10	           0	           0	      0.1425	   3.528e-11	   0.0008812	   3.427e-15	   0.0006511	    6.34e-10	       6.481	   0.0003344	    0.008922	     0.01673	    0.001203	    0.001369	   0.0006212	   0.0001259	   6.898e-08	   1.869e-05	   7.359e-08	    0.001918	     0.01604	        0.35	     0.01214	    0.005857	
           1	          41	           1	      0.2025	         0.5	         0.5	          12	       6.489	       2.812	    0.006284	   8.379e-10	    0.001816	    2.91e-09	           0	           0	      0.1425	  -5.907e-12	   0.0008812	  -8.337e-15	   0.0006509	  -2.908e-09	       6.489	   0.0003595	    0.008749	     0.01654	    0.001231	    0.001366	   0.0006012	   0.0001245	   6.762e-08	   1.972e-05	   7.406e-08	    0.001918	     0.01588	        0.35	     0.01207	    0.005789	
           1	          42	           1	      0.2075	         0.5	         0.5	          12	       6.499	       2.788	    0.006284	  -5.331e-10	    0.001816	  -8.705e-11	           0	           0	      0.1425	   3.159e-11	   0.0008812	   2.464e-15	   0.0006508	   8.356e-11	       6.499	   0.0003859	    0.008568	     0.01632	    0.001259	    0.001364	   0.0005801	   0.0001229	   6.616e-08	   2.081e-05	    7.46e-08	    0.001919	     0.01571	        0.35	       0.012	    0.005712	
           1	          43	           1	      0.2125	         0.5	         0.5	          12	       6.509	       2.761	    0.006285	   2.054e-10	    0.001816	   -2.33e-09	           0	           0	      0.1425	   1.585e-11	   0.0008812	   4.547e-15	   0.0006509	   2.326e-09	       6.509	   0.0004136	    0.008377	     0.01607	     0.00129	    0.001361	    0.000558	   0.0001211	   6.459e-08	   2.195e-05	   7.523e-08	    0.001919	      0.0155	        0.35	     0.01191	    0.005626	
           1	          44	           1	      0.2175	         0.5	         0.5	          12	        6.52	       2.732	    0.006285	  -4.508e-09	    0.001816	  -1.313e-08	           0	           0	      0.1425	   7.079e-12	   0.0008812	   5.499e-14	    0.000651	    1.31e-08	        6.52	   0.0004424	    0.008179	      0.0158	    0.001321	    0.001358	   0.0005351	   0.0001191	   6.293e-08	   2.313e-05	   7.596e-08	    0.001919	     0.01527	        0.35	     0.01182	    0.005531	
           1	          45	           1	      0.2225	         0.5	         0.5	          12	       6.533	       2.701	    0.006286	   2.038e-09	    0.001816	   5.717e-09	           0	           0	      0.1425	   2.132e-11	   0.0008812	    -2.3e-14	   0.0006511	  -5.702e-09	       6.533	   0.0004721	    0.007974	      0.0155	    0.001353	    0.001355	   0.0005114	   0.0001169	   6.118e-08	   2.435e-05	    7.68e-08	     0.00192	     0.01502	        0.35	     0.01171	    0.005426	
           1	          46	           1	      0.2275	         0.5	         0.5	          12	       6.546	       2.668	    0.006287	   -3.17e-10	    0.001816	  -1.686e-09	           0	           0	      0.1425	   4.989e-12	   0.0008812	    1.12e-14	    0.000651	   1.682e-09	       6.546	   0.0005025	    0.007764	     0.01518	    0.001386	    0.001352	   0.0004872	   0.0001145	   5.936e-08	    2.56e-05	   7.777e-08	     0.00192	     0.01475	        0.35	      0.0116	    0.005313	
           1	          47	           1	      0.2325	         0.5	         0.5	          12	        6.56	       2.633	    0.006287	   -2.07e-09	    0.001816	  -5.423e-09	           0	           0	      0.1425	   4.977e-11	   0.0008812	   3.509e-14	   0.0006511	   5.415e-09	        6.56	   0.0005334	    0.007549	     0.01484	     0.00142	    0.001349	   0.0004626	    0.000112	   5.748e-08	   2.687e-05	   7.888e-08	     0.00192	     0.01445	        0.35	     0.01148	    0.005193	
           1	          48	           1	      0.2375	         0.5	         0.5	          12	       6.575	       2.596	    0.006288	  -9.117e-10	    0.001816	  -2.795e-09	           0	           0	      0.1425	   3.442e-11	   0.0008812	   1.941e-14	   0.0006511	    2.79e-09	       6.575	   0.0005645	    0.007332	     0.01447	    0.001454	    0.001346	   0.0004377	   0.0001093	   5.554e-08	   2.815e-05	   8.013e-08	    0.001921	     0.01414	        0.35	     0.01135	    0.005066	
