       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          25	           1	      0.1225	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007518	  -1.227e-08	    0.005336	   2.781e-10	      0.1424	  -6.777e-12	   0.0009849	  -1.763e-11	   0.0006527	   1.344e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.836e-06	   7.233e-06	    0.001883	     0.05121	      0.3498	    0.009528	    0.004192	
           1	          26	           1	      0.1275	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	     0.00767	   5.693e-09	    0.005341	   4.302e-10	      0.1424	   3.589e-11	   0.0008909	   7.851e-12	    0.000653	  -4.727e-09	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.836e-06	   7.233e-06	    0.001883	     0.05121	      0.3498	    0.009533	    0.004192	
           1	          27	           1	      0.1325	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007689	  -9.628e-09	    0.005353	  -5.005e-10	      0.1424	   4.915e-11	    0.000883	  -1.385e-11	   0.0006523	   8.982e-09	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.836e-06	   7.233e-06	    0.001883	     0.05121	      0.3498	    0.009545	    0.004192	
           1	          28	           1	      0.1375	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007691	   1.338e-08	    0.005363	   3.993e-10	      0.1424	   6.424e-11	   0.0008824	   1.828e-11	   0.0006524	  -1.392e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.836e-06	   7.233e-06	    0.001883	     0.05121	      0.3498	    0.009555	    0.004192	
           1	          29	           1	      0.1425	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007688	  -1.603e-09	    0.005368	  -1.042e-10	      0.1424	    8.86e-12	   0.0008823	  -2.789e-12	   0.0006518	   4.807e-10	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.836e-06	   7.232e-06	    0.001883	     0.05121	      0.3498	    0.009561	    0.004192	
           1	          30	           1	      0.1475	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007678	   1.205e-08	    0.005371	  -2.729e-11	      0.1424	   5.368e-11	   0.0008823	   1.634e-11	   0.0006514	  -1.073e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007935	     0.03752	   1.543e-06	   9.837e-06	   7.232e-06	    0.001883	     0.05121	      0.3498	    0.009563	    0.004192	
           1	          31	           1	      0.1525	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007683	  -7.899e-09	     0.00538	   9.422e-11	      0.1424	   6.311e-11	   0.0008823	  -1.149e-11	   0.0006518	   8.714e-09	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007934	     0.03752	   1.543e-06	   9.837e-06	   7.232e-06	    0.001883	      0.0512	      0.3498	    0.009572	    0.004192	
           1	          32	           1	      0.1575	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007686	  -1.131e-08	    0.005388	  -4.432e-10	      0.1424	   8.659e-11	   0.0008823	  -1.603e-11	   0.0006516	   1.366e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007934	     0.03752	   1.543e-06	   9.837e-06	   7.232e-06	    0.001883	      0.0512	      0.3498	     0.00958	    0.004192	
           1	          33	           1	      0.1625	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007679	  -2.506e-09	     0.00539	  -3.404e-11	      0.1424	   4.286e-11	   0.0008823	  -3.601e-12	   0.0006513	   2.962e-09	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007934	     0.03752	   1.543e-06	   9.838e-06	   7.232e-06	    0.001883	      0.0512	      0.3498	    0.009582	    0.004192	
           1	          34	           1	      0.1675	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007673	   -1.17e-08	    0.005392	  -1.607e-10	      0.1424	   3.257e-11	   0.0008823	   -1.63e-11	   0.0006515	   1.119e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009696	    0.001391	   0.0007934	     0.03752	   1.543e-06	   9.838e-06	   7.231e-06	    0.001883	      0.0512	      0.3498	    0.009584	    0.004192	
           1	          35	           1	      0.1725	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007683	   -1.81e-08	    0.005402	   3.794e-11	      0.1424	   5.644e-11	   0.0008823	  -2.502e-11	   0.0006519	   1.829e-08	       5.167	   0.0001191	    0.007537	     0.01198	   0.0009697	    0.001391	   0.0007934	     0.03751	   1.543e-06	   9.839e-06	   7.231e-06	    0.001883	      0.0512	      0.3498	    0.009595	    0.004192	
           1	          36	           1	      0.1775	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007677	  -1.628e-09	    0.005404	   4.694e-11	      0.1424	   3.511e-11	   0.0008823	  -2.423e-12	   0.0006511	   2.511e-09	       5.167	   0.0001192	    0.007537	     0.01199	   0.0009697	    0.001391	   0.0007934	     0.03751	   1.543e-06	    9.84e-06	   7.229e-06	    0.001883	     0.05119	      0.3498	    0.009596	    0.004192	
           1	          37	           1	      0.1825	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007668	   1.456e-09	    0.005403	   9.919e-12	      0.1424	  -2.081e-11	   0.0008823	    2.39e-12	   0.0006515	   1.375e-09	       5.167	   0.0001192	    0.007537	     0.01199	   0.0009697	    0.001391	   0.0007934	     0.03751	   1.543e-06	   9.841e-06	   7.228e-06	    0.001883	     0.05119	      0.3498	    0.009596	    0.004192	
           1	          38	           1	      0.1875	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	     0.00768	  -9.524e-09	    0.005414	  -1.417e-10	      0.1424	   6.557e-11	   0.0008823	  -1.331e-11	   0.0006518	    9.96e-09	       5.167	   0.0001192	    0.007537	     0.01199	   0.0009698	    0.001391	   0.0007934	      0.0375	   1.543e-06	   9.842e-06	   7.226e-06	    0.001883	     0.05119	      0.3498	    0.009607	    0.004193	
           1	          39	           1	      0.1925	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007673	  -1.945e-09	    0.005413	  -5.338e-11	      0.1424	   8.836e-11	   0.0008823	  -3.138e-12	   0.0006508	   3.702e-09	       5.167	   0.0001193	    0.007537	     0.01199	   0.0009698	    0.001391	   0.0007933	     0.03749	   1.543e-06	   9.844e-06	   7.223e-06	    0.001883	     0.05118	      0.3498	    0.009606	    0.004193	
           1	          40	           1	      0.1975	         0.5	         0.5	          24	       5.167	       4.487	           0	           0	    0.007668	   1.168e-09	    0.005414	   1.097e-10	      0.1424	   4.448e-11	   0.0008823	   1.368e-12	    0.000651	  -5.811e-11	       5.167	   0.0001193	    0.007537	     0.01199	   0.0009699	    0.001391	   0.0007933	     0.03748	   1.543e-06	   9.846e-06	    7.22e-06	    0.001883	     0.05117	      0.3498	    0.009607	    0.004193	
           1	          41	           1	      0.2025	         0.5	         0.5	          24	       5.167	       4.486	           0	           0	    0.007678	  -9.778e-09	    0.005423	   3.414e-11	      0.1424	   5.148e-11	   0.0008823	  -1.381e-11	    0.000651	   9.803e-09	       5.167	   0.0001194	    0.007536	     0.01199	   0.0009699	    0.001391	   0.0007932	     0.03747	   1.542e-06	   9.849e-06	   7.216e-06	    0.001883	     0.05116	      0.3498	    0.009616	    0.004193	
           1	          42	           1	      0.2075	         0.5	         0.5	          24	       5.167	       4.486	           0	           0	    0.007667	  -5.726e-09	     0.00542	  -5.052e-11	      0.1424	    7.23e-11	   0.0008823	  -7.902e-12	   0.0006507	   5.666e-09	       5.167	   0.0001195	    0.007536	     0.01199	     0.00097	    0.001391	   0.0007932	     0.03746	   1.542e-06	   9.853e-06	   7.211e-06	    0.001883	     0.05114	      0.3498	    0.009613	    0.004193	
           1	          43	           1	      0.2125	         0.5	         0.5	          24	       5.167	       4.486	           0	           0	    0.007671	   6.195e-09	    0.005425	  -6.213e-11	      0.1424	   8.297e-11	   0.0008823	   8.625e-12	   0.0006517	  -5.735e-09	       5.167	   0.0001196	    0.007535	     0.01199	   0.0009701	    0.001391	   0.0007931	     0.03744	   1.542e-06	   9.857e-06	   7.204e-06	    0.001883	     0.05112	      0.3498	    0.009619	    0.004193	
           1	          44	           1	      0.2175	         0.5	         0.5	          24	       5.168	       4.486	           0	           0	    0.007674	  -5.519e-09	     0.00543	  -4.055e-10	      0.1424	   5.952e-11	   0.0008823	  -7.879e-12	   0.0006518	   4.239e-09	       5.168	   0.0001197	    0.007534	     0.01199	   0.0009703	    0.001391	    0.000793	     0.03741	   1.541e-06	   9.862e-06	   7.196e-06	    0.001883	      0.0511	      0.3498	    0.009624	    0.004194	
